"이름","나이","경기수","타수","타석수","득점","안타","2루타","3루타","홈런"
"김인환",24,4,6,6,0,0,0,0,0
"김재상",23,26,58,51,7,14,1,1,0
"김재유",24,21,30,27,8,4,0,0,0
"김재율",29,25,41,36,5,8,3,0,0
"김재현",27,5,1,1,0,0,0,0,0
"김재호",33,131,467,402,78,125,20,0,16
"김재환",30,139,602,527,104,176,36,1,44
"김종민",32,6,4,4,0,0,0,0,0
"김종헌",33,101,157,140,36,43,5,3,1
"김종훈",34,96,185,163,18,33,7,0,0
"김주찬",37,121,471,429,71,146,23,0,18
"김주현",28,21,33,29,4,6,4,0,0
"김주형",32,57,116,106,11,18,5,0,0
"김준완",25,122,325,253,60,66,7,1,1
"김준태",21,27,31,26,0,4,0,0,0
"김지수",32,47,39,34,4,5,0,0,0
"김진곤",31,19,23,21,4,3,1,0,0
"김진수",29,5,3,3,0,0,0,0,0
"김진형",24,28,42,38,5,9,1,0,0
"김찬형",21,63,160,142,24,33,5,0,1
"김창혁",27,6,10,10,1,2,1,0,0
"김태군",27,134,395,340,37,79,15,0,1
"김태균",36,73,271,254,25,80,11,0,10
"김태연",21,24,30,26,7,5,1,0,0
"김태완",33,46,100,90,14,28,5,0,4
"김태진",23,20,35,31,5,11,0,0,1
"김하성",23,129,576,511,95,147,27,4,20
"김헌곤",30,141,586,513,77,154,26,2,11
"김현민",28,10,11,9,1,1,0,0,0
"김현수",30,117,511,453,95,164,39,2,20
"김형준",19,60,89,81,6,13,1,0,0
"김혜성",19,136,473,430,79,116,15,6,5
"김호령",24,124,514,453,72,121,18,3,8
"김호재",23,10,7,6,1,1,0,0,0
"김회성",33,58,102,85,15,22,5,0,4
"나경민",27,87,71,57,23,15,2,0,0
"나성범",29,144,620,556,110,177,36,3,23
"나원탁",23,12,23,23,2,5,1,0,0
"나종덕",20,106,203,177,15,22,3,0,2
"나주환",34,119,420,362,54,95,24,0,12
"나지완",33,114,379,317,50,86,18,0,26
"남태혁",27,7,11,11,0,2,0,0,0
"노수광",28,135,588,515,93,161,21,8,8
"노진혁",29,125,458,420,52,119,21,4,11
"대니돈",32,129,497,417,65,123,33,1,16
"도태훈",24,32,51,47,3,9,1,0,1
"러프",32,137,597,506,97,167,32,4,33
"로맥",33,141,616,528,102,167,19,0,43
"로사리오",27,127,532,492,78,158,31,2,33
"로하스",28,144,645,564,114,172,30,1,43
"류승현",21,35,85,75,9,23,3,1,1
"류지혁",24,128,280,228,52,61,7,0,1
"마르테",32,115,487,425,85,148,32,1,20
"모창민",33,81,314,287,38,80,10,1,17
"문규현",35,122,349,316,42,87,19,1,6
"문상철",24,51,88,80,10,13,3,0,2
"문선재",28,2,6,6,0,1,0,0,0
"민병헌",31,118,494,443,74,141,21,0,17
"박건우",28,125,529,488,79,159,24,6,12
"박경수",34,135,528,458,65,120,21,0,25
"박계범",19,3,0,0,0,0,0,0,0
"박계원",31,48,22,20,15,5,1,0,0
"박광열",22,59,66,63,5,12,7,1,1
"박기혁",36,97,263,235,22,56,11,1,2
"박노민",30,23,26,24,1,8,0,0,0
"박동원",28,39,128,117,19,29,3,0,6
"박민우",25,115,460,411,68,133,22,5,5
"박병호",32,113,488,400,88,138,20,0,43
"박석민",33,103,375,318,40,81,14,1,16
"박성준",19,11,12,10,3,2,0,0,0
"박성한",19,2,4,4,0,0,0,0,0
"박세혁",28,89,194,170,37,48,12,0,3
"박승욱",26,51,79,65,11,20,3,0,0
"박용택",39,134,583,524,89,159,38,1,15
"박재상",33,108,292,250,34,62,12,2,7
"박정권",37,14,31,29,4,5,0,0,2
"박정음",29,16,17,16,1,1,0,0,1
"박준태",27,85,150,123,32,28,5,1,5
"박준혁",27,4,5,5,0,1,1,0,0
"박지규",27,26,53,47,6,8,2,0,1
"박진만",38,19,35,32,3,8,1,0,0
"박찬도",29,54,82,73,13,17,4,1,0
"박해민",28,144,649,576,114,172,30,10,9
"박헌욱",25,10,23,22,1,6,2,0,1
"배영섭",32,69,168,147,15,36,6,0,0
"배정대",23,14,5,5,1,1,0,0,0
"백승룡",30,33,62,52,3,12,1,0,0
"백승민",28,14,32,31,3,8,2,0,0
"백승현",23,5,8,8,1,2,0,0,0
"백용환",29,34,57,47,7,13,1,0,0
"백창수",30,70,169,152,21,37,15,1,3
"버나디나",33,139,621,557,118,178,26,8,27
"번즈",27,116,468,423,71,128,38,0,15
"브룸바",34,102,420,358,39,105,17,0,13
"샌즈",31,25,93,86,17,27,1,1,12
"서건창",29,37,160,141,28,48,12,0,0
"서상우",29,51,84,69,10,20,0,0,2
"서예일",23,31,21,19,3,2,0,0,0
"서한규",33,88,244,200,28,50,4,1,1
"손아섭",30,141,625,553,109,182,32,5,26
"손인호",36,23,51,47,6,12,2,0,2
"손주인",35,98,297,265,26,63,10,0,4
"송광민",35,113,460,434,63,129,24,0,18
